ماه,نام کالا,وزن خالص فروش
اردیبهشت,وکيوم کالباس سالامي 300gr (90درصد گوشت),69
اردیبهشت,دارفرش بیکن مخلوط 250gr(97.5درصد),67
اردیبهشت,وکيوم سوسيس کوکتل رويال (70درصد گوشت),66
اردیبهشت,رولت مخلوط (98درصد گوشت قرمز و بوقلمون),65
اردیبهشت,وکيوم کالباس خشک 300gr (60درصد گوشت),65
اردیبهشت,کالباس گوشت خانواده 500gr (90درصد),63
اردیبهشت,دارفرش بیکن ران بوقلمون 250gr(98درصد),62
اردیبهشت,توری کوکتل پنیر 500gr(55درصد),62
اردیبهشت,توری هات داگ پنیر 500gr(55درصد),59
اردیبهشت,دارفرش سوسيس سوجوک 250gr(90درصد گوشت),58
اردیبهشت,توری کوکتل لیونر 500gr(55درصد ),58
اردیبهشت,کالباس خشک ممتاز خانواده 500gr (70درصد گوشت),57
اردیبهشت,دارفرش بیکن گوساله 250gr(97درصد),54
اردیبهشت,وکيوم سوسيس هات داگ رويال (70درصد گوشت),51
اردیبهشت,وکیوم سوسيس کوکتل دودي (70درصد گوشت),49
اردیبهشت,وکيوم سوسيس کوکتل پنير (55درصد گوشت),49
اردیبهشت,دارفرش کالباس پپروني 250gr (70درصد گوشت),48
اردیبهشت,وکیوم هندران 300 گرمی (98درصد ران بوقلمون),39
اردیبهشت,دارفرش بیکن مرغ 250gr(98درصد),38
اردیبهشت,وکیوم کالباس لیونر 300gr(55درصد گوشت),38
اردیبهشت,وکیوم رولت مخلوط 300gr(98درصد گوشت قرمز و بوقلمون),36
اردیبهشت,توری هات داگ لیونر 500gr(55درصد),34
اردیبهشت,وکیوم سوسیس کوکتل وینر دودی 80%,33
اردیبهشت,دارفرش سالامی روسی 250gr(97درصد گوشت),32
اردیبهشت,وکيوم سوسيس کبابي (90درصد گوشت),30
اردیبهشت,کالباس ليونر مخلوط خانواده گوشت و مرغ 500gr (55درصد),28
اردیبهشت,کالباس ليونر مديترانه اي ( 55درصد گوشت ),23
اردیبهشت,وکيوم کالباس خشک ممتاز گرد 300gr (70درصد گوشت),22
اردیبهشت,وکیوم ژامبون بوقلمون 300gr(98درصد),21
اردیبهشت,وکیوم استیک ژانویه 300gr(97درصد گوشت),21
اردیبهشت,وکيوم سوسيس سوجوک (90درصد گوشت),20
اردیبهشت,توری سوسيس فسقلي 1000gr(55درصد گوشت),13
اردیبهشت,کاردبرد گوشت پرسی 200gr(90% گوشت),12
اردیبهشت,وکیوم بیکن مخلوط 300gr(97/5درصد گوشت قرمز و مرغ),11
اردیبهشت,کارد برد بیکن سینه بوقلمون 250gr(98درصد),11
اردیبهشت,وکیوم بیکن مرغ 300gr(98درصد),10
اردیبهشت,توری کوکتل مرغ 500gr(70درصد),10
اردیبهشت,کارد برد کالباس مرغ تنوري 250gr (90درصد مرغ),9
اردیبهشت,وکیوم کالباس مخلوط گوشت و مرغ 300gr(90درصد),8
اردیبهشت,کارد برد کالباس گوشت تنوري 250gr (90درصد گوشت),6
اردیبهشت,وکيوم سوسيس کوکتل ليونر (55درصد گوشت),6
اردیبهشت,کارد برد کالباس مرغ پرسی250gr (90% مرغ),5
اردیبهشت,توری هات داگ باچینو توری 500gr(40درصد),5
اردیبهشت,توری سوسیس هات داگ آلمانی 1000gr(40درصد گوشت),5
اردیبهشت,وکیوم سالامی روسی 300gr(97درصد گوشت),4
اردیبهشت,کاردبرد فیله بوقلمون فرآوری اسپایسی 250gr(98درصد),3
اردیبهشت,کارد برد رولت مخلوط 250gr(98درصد گوشت قرمز و بوقلمون),1
اردیبهشت,کارد برد استیک ژانویه 250gr(97درصد گوشت),1
اردیبهشت,کالباس مخلوط گوشت و مرغ خانواده 500gr (90درصد),1
اردیبهشت,وکیوم کتف مرغ فرآوری شده 300 گرمی (98درصد),-2
خرداد,سوسیس هات داگ رویال (70درصد گوشت),10202
خرداد,سوسیس هات داگ آلمانی (40درصد گوشت),8209
خرداد,سوسیس کوکتل رویال (70درصد گوشت),7610
خرداد,کالباس مرغ پرسی (90درصد),6702
خرداد,کالباس گوشت پرسی (90درصد گوشت),6644
خرداد,سوسیس کوکتل لیونر (55درصد گوشت),6247
خرداد,کالباس خشک (60درصد گوشت),5965
خرداد,ژامبون بوقلمون(98درصد),5784
خرداد,هروئیکا بدون استخوان (98درصد سینه مرغ),4289
خرداد,کالباس مرغ تنوری (90درصد مرغ),3839
خرداد,کالباس لیونر (55درصد گوشت),3649
خرداد,کالباس خشک ممتازگرد (70درصد گوشت),3326
خرداد,هندوشکا (98درصد سینه بوقلمون),3119
خرداد,سوسیس هات داگ لیونر (55درصد گوشت),3049
خرداد,کالباس ليونر مخلوط گوشت و مرغ (55درصد),2957
خرداد,کالباس مرغ و قارچ (60درصد),2761
خرداد,سوسیس هات داگ فست فودی 55درصد,2567
خرداد,سوسيس کوکتل شکاري پلاس  (90درصد گوشت),2298
خرداد,بیکن صبحانه (97درصد گوشت),2131
خرداد,سوسیس کوکتل پنیر (55درصد گوشت),2058
خرداد,کالباس خشک ممتازقالبی (70درصد گوشت),2018
خرداد,سوسیس فسقلی (55درصد گوشت),1906
خرداد,کالباس مرغ (70درصد مرغ),1883
خرداد,سوسیس کوکتل دودی (70درصد گوشت),1615
خرداد,بیکن گوساله (97درصد),1522
